2DP-10	745.5651	345.9908	     0.6	x10
2DP-20	745.5651	342.2031	     1.3	x10
2DP-25	745.5651	341.4105	     1.8	x10
2DP-30	745.5651	341.2786	     2.3	x10
2DP-35	745.5651	341.2372	     2.7	x10
2DP-40	745.5651	341.6185	     4.0	x10
2DP-50	745.5651	341.7515	     6.1	x10
2DP-60	745.5651	341.8634	     8.4	x10
GREEDY	745.5651	387.5974	   205.1	x10
